job_id,city,zip,job_title,description,image_filename,source_page
GT-021,San Jose,95123,San Jose - Bradford White 40-gallon Gas Tank Water Heater Installation 95123,Homeowner had an old unit that was leaking slowly and needed a replacement. We installed 40-gallon Bradford White.,shawn_edited.jpg,https://www.waterheaterboys.com/services/gas-tank-water-heater-installation
GT-022,Walnut Creek,94595,Walnut Creek - Bradford White 40-gallon Gas Tank Water Heater Installation 94595,"Homeowner had a 28 year-old GE water heater, and wanted to replace before it failed. We installed 40-gallon Bradford White.",0FA2D126-C790-4A01-BFC2-4E8757EEF34C_edited.jpg,https://www.waterheaterboys.com/services/gas-tank-water-heater-installation
GT-023,Fremont,,Fremont - Bradford White 50-gallon Gas Tank Water Heater Installation,Customers old gas tank water heater failed after 13 years and we replaced with Bradford White.,A69B7DCC-7E7E-45AB-8C94-57FA4EE950DF_edi,https://www.waterheaterboys.com/services/gas-tank-water-heater-installation
GT-024,San Ramon,94583,San Ramon - Bradford White 50-Gallon Water Heater Installation 94583,Homeowner wanted to replace 16-year-old unit before it failed. PRV was present so we added an expansion tank.,shishir.png,https://www.waterheaterboys.com/services/gas-tank-water-heater-installation
GT-025,Daly City,,Daly City - Rheem 50-gallon Gas Tank Water Heater Installation,"Homeowners old Rheem failed, replaced with another Rheem as requested.",Screenshot 2025-12-19 085350_edited.jpg,https://www.waterheaterboys.com/services/gas-tank-water-heater-installation
GT-026,San Bruno,,San Bruno - Bradford White 50-gallon Gas Tank Water Heater Installation,"This was an emergency water heater replacement. Customer was without water for 3 days, we replaced the unit same day.",FA0C7DF3-AF66-4156-ADC0-53220C89C5ED_edited.jpg,https://www.waterheaterboys.com/services/gas-tank-water-heater-installation
GT-027,Concord,94519,Concord - Bradford White 40-gallon Gas Tank Water Heater Installation 94519,"Customers old unit wouldn't stay lit, gas valve failed. Out of warranty so we replaced the unit.",B4661B73-0F46-4D52-A6C8-FB996CC2FA18_edited.jpg,https://www.waterheaterboys.com/services/gas-tank-water-heater-installation
GT-028,Danville,94506,Danville - Bradford White 50-gallon Gas Tank Water Heater Installation 94506,"Customers old 50-gallon AO Smith failed after only 10 years, replaced with 40,000 btu Bradford White.",eric_edited.jpg,https://www.waterheaterboys.com/services/gas-tank-water-heater-installation
GT-029,San Carlos,94070,San Carlos - Bradford White 40-gallon Gas Tank Water Heater Installation 94070,"Customers old 40-gallon tank had a slow leak, replaced with Bradford White.",georgia,https://www.waterheaterboys.com/services/gas-tank-water-heater-installation
GT-030,Danville,94526,Danville -Bradford White 40-Gallon 94526,"Homeowner's old 40-gallon water heater failed. We replaced with a new Bradford White 40-gallon, and also installed new shut-off valves on the hot and cold water lines for emergency and maintenance purposes.",eyJidWNrZXQiOiJqb2JiZXIiLCJrZXkiOiJub3RlX2ZpbGVfYXR0YWNobWVudHMvOTY3Ny00MDY4OTE5NzYvb3JpZ2,https://www.waterheaterboys.com/services/gas-tank-water-heater-installation
GT-031,San Ramon,94583,San Ramon -Bradford White 50-Gallon 94595,"Homeowner had old 50-gallon water heater that failed. Within 3-hours we installed a new Bradford White 50-gallon, and repaired her venting that was not to code. We also installed a seismic gas valve at her gas meter. 94583",IMG_9439_edited.jpg,https://www.waterheaterboys.com/services/gas-tank-water-heater-installation
GT-032,Dublin,94568,Dublin -AO Smith 50 Gallon Power Vent Gas Tank Water Heater Installation,Homeowner wanted to replace old AO Smith Power Vent with exact same model. We used the new version and installed within 24 hours. Model GPVNT50 94568,ao_smith_power_vent_edited.jpg,https://www.waterheaterboys.com/services/gas-tank-water-heater-installation
GT-033,San Francisco,,San Francisco -Bradford White 75 Gallon Gas Tank Water Heater Installation,Homeowner 16-year old 75-gallon water heater leaked from the top and bottom which indicated failure. Replaced with a 75gallon unit within 48 hours.,0661050c-204c-45ed-bdda-f36398dc5647.png,https://www.waterheaterboys.com/services/gas-tank-water-heater-installation
GT-034,Belmont,,Belmont -Bradford White 50 Gallon Gas Tank Water Heater Installation,Homeowner's 50 Gallon Rheem failed. Installed a 50 Gallon Bradford White as a replacement.,b6b757f0-66d3-41a6-94e3-abb04421ac6c.png,https://www.waterheaterboys.com/services/gas-tank-water-heater-installation
GT-035,Palo Alto,,Palo Alto -Bradford White 50 Gallon Gas Tank Water Heater Installation,Customer 75 gallon water heater failed and requested replacement. Installed a 50 Gallon Bradford White,Xi.jfif,https://www.waterheaterboys.com/services/gas-tank-water-heater-installation
GT-036,Palo Alto,,Palo Alto -Bradford White 40 Gallon Gas Tank Water Heater Installation,Customer 40 Gallon Gas Tank Water Heater failed. Installed a 40 Gallon Bradford White Unit the same day.,ZHOU.png,https://www.waterheaterboys.com/services/gas-tank-water-heater-installation
GT-037,San Carlos,,San Carlos - Rheem 50 Gallon Gas Tank Water Heater Installation,Customers 50 Gallon Rheem failed on SuperBowl Sunday. We replaced with a Rheem 50 Gallon model the next day.,IMG_8410.HEIC,https://www.waterheaterboys.com/services/gas-tank-water-heater-installation
GT-038,Danville,94526,Danville - Bradford White 40 Gallon Gas Tank Water Heater Installation,During bathroom renovation planning for this homeowner we checked the water heater and discovered it was 20 years old. We replaced with a new 40 gallon Bradford White. 94526,40_gallon_bradford_white_edited.jpg,https://www.waterheaterboys.com/services/gas-tank-water-heater-installation
GT-039,Danville,94526,Danville - Bradford White 40 Gallon Gas Tank Water Heater Installation,Homeowner old 40 gallon heater had failed. Installed a new 40 gallon Bradford White. 94526,AFC0647A-4919-40EC-AD06-196EB7818438_edited.jpg,https://www.waterheaterboys.com/services/gas-tank-water-heater-installation
GT-040,Danville,94526,Danville - Bradford White 75 Gallon Gas Tank Water Heater Installation,Homeowner in Danville had an old leaky 75-gallon Bradford White. We swapped for same newer model. 94526,bradford 75 gallon,https://www.waterheaterboys.com/services/gas-tank-water-heater-installation
GT-041,San Francisco,94109,San Francisco - Bradford White 40 Gallon Gas Tank Water Heater Installation 94109,Homeowner's older water heater had a leak and we were able to replace within 24 hours of contact.,ryan_edited.jpg,https://www.waterheaterboys.com/services/gas-tank-water-heater-installation
GT-042,San Francisco,94102,San Francisco - Bradford White 40 Gallon Gas Tank Water Heater Installation,Homeowner purchased a new condo and wanted to swap out his older water heater before it could stop functioning. Replacing for preventative measures. 94102,erich_edited.jpg,https://www.waterheaterboys.com/services/gas-tank-water-heater-installation
GT-043,Redwood Shores,,Redwood Shores - Bradford White 50 Gallon Gas Water Heater Installation,Homeowner's 50 Gallon Gas Water Heater had a slow leak. Requested to Install a new 50 Gallon unit before it failed. Installation was completed within 72 hours.,Marcos.png,https://www.waterheaterboys.com/services/gas-tank-water-heater-installation
GT-044,San Francisco,,San Francisco - 100 Gallon Bradford White 'Light Duty' Commercial Gas Water Heater,Landlord requested a 100 Gallon Bradford White 'Light Commercial' Water Heater to support 4 Apartment Units. Successfully Installed within 48 Hours.,Vadim.png,https://www.waterheaterboys.com/services/gas-tank-water-heater-installation
GT-045,San Francisco,,San Francisco - Bradford White 50 Gallon Gas Water Heater Installation,Homeowner reached out at 10 pm requesting a replacement of their existing 50 Gallon Rheem Gas Water Heater due to a leak. Installation was completed in less then 24 hours.,G.Norman.SF.png,https://www.waterheaterboys.com/services/gas-tank-water-heater-installation
GT-046,Livermore,94550,Livermore - Bradford White 50-gallon Gas Tank Water Heater Installation 94550,Homeowner had an old 75-gallon tank that started leaking. They downgraded to a 50-gallon tank which was the correct size for the home.,441B14D4-7ACC-4267-8A09-E5AD15D5EA2E_edited.jpg,https://www.waterheaterboys.com/services/gas-tank-water-heater-installation
GT-047,Castro Valley,94552,Castro Valley - Bradford White 40-gallon Gas Tank Water Heater Installation 94552,"Homeowner had a 28-year old unit, and wanted to replace before it failed. We installed 40-gallon Bradford White.",Screenshot 2026-01-22 142958_edited.jpg,https://www.waterheaterboys.com/services/gas-tank-water-heater-installation
GT-048,San Carlos,94070,San Carlos - Bradford White 50-gallon Gas Tank Water Heater Installation 94070,"Homeowner had an older unit that was starting leak and did not have hot water, scheduled same day service. We installed 50-gallon Bradford White.",chris_edited_edited.jpg,https://www.waterheaterboys.com/services/gas-tank-water-heater-installation
GT-049,Fremont,94536,Fremont - Bradford White 40-gallon Gas Tank Water Heater Installation 94536,"Homeowner had a tank under warranty, we replaced with another 40-gallon Bradford White and returned defective unit to vendor.",jp_edited.jpg,https://www.waterheaterboys.com/services/gas-tank-water-heater-installation
GT-050,Daly City,94015,Daly City - Bradford White 40-gallon Gas Tank Water Heater Installation 94015,Homeowner's older unit failed and burst. We installed a new 40 gallon Bradford White,lesley_edited.jpg,https://www.waterheaterboys.com/services/gas-tank-water-heater-installation
GT-051,Foster City,94404,Foster City - Bradford White 50-gallon Gas Tank Water Heater Installation 94404,"Homeowner had an existing 100 gallon older unit and wanted to size down, we installed 50-gallon Bradford White.",0021C00A-4946-4A87-A7D7-451CCF7C0303_edited.jpg,https://www.waterheaterboys.com/services/gas-tank-water-heater-installation
GT-052,San Ramon,94583,San Ramon - Bradford White 50-Gallon Water Heater Installation 94583,Homeowner wanted to replace 20-year-old unit before it failed. Extremely tight space so we used the 'skinny' version.,kam.png,https://www.waterheaterboys.com/services/gas-tank-water-heater-installation
GT-053,San Mateo,,San Mateo - Bradford White 40-gallon Gas Tank Water Heater Installation,Homeowner wanted to upgrade their 20-year old tank before it failed. Tight space so we used a Bradford White 'skinny' 40-Gallon.,shiela_edited.jpg,https://www.waterheaterboys.com/services/gas-tank-water-heater-installation
GT-054,Walnut Creek,94595,Walnut Creek - 50-Gallon Bradford White with Expansion Tank 94595,Replaced failed unit and expansion tank since a Pressure Reducing Valve was present.,DF55E281-3BC8-4A49-8633-774297F5459B.png,https://www.waterheaterboys.com/services/gas-tank-water-heater-installation
GT-055,San Jose,,San Jose - Bradford White 40-gallon Gas Tank Water Heater Installation,Customers old water heater was leaking from the top and bottom indicating total failure.,0F684829-FCBF-4C80-9423-EF8CB170DE4C_edited.jpg,https://www.waterheaterboys.com/services/gas-tank-water-heater-installation
GT-056,Pleasant Hill,94523,Pleasant Hill - Bradford White 40-gallon Gas Tank Water Heater Installation 94523,"Customers old Rheem failed, replaced with Bradford White.",IMG_7160.JPG,https://www.waterheaterboys.com/services/gas-tank-water-heater-installation
GT-057,San Francisco,94118,San Francisco - Bradford White 50-gallon Gas Tank Water Heater Installation 94118,"Customers 20-year old 50-gallon tank had a slow leak, replaced with 40,000 btu Bradford White.",Henry_edited_edited.png,https://www.waterheaterboys.com/services/gas-tank-water-heater-installation
