category,record_id,image_filename,associated_title,city,source_page,association_status
gas-tank,gas-tank-054,DF55E281-3BC8-4A49-8633-774297F5459B.png,Walnut Creek - 50-Gallon Bradford White with Expansion Tank 94595,Walnut Creek,https://www.waterheaterboys.com/services/gas-tank-water-heater-installation,MATCHED_TO_JOB
gas-tank,gas-tank-055,0F684829-FCBF-4C80-9423-EF8CB170DE4C_edited.jpg,San Jose - Bradford White 40-gallon Gas Tank Water Heater Installation,San Jose,https://www.waterheaterboys.com/services/gas-tank-water-heater-installation,MATCHED_TO_JOB
gas-tank,gas-tank-056,IMG_7160.JPG,Pleasant Hill - Bradford White 40-gallon Gas Tank Water Heater Installation 94523,Pleasant Hill,https://www.waterheaterboys.com/services/gas-tank-water-heater-installation,MATCHED_TO_JOB
gas-tank,gas-tank-057,Henry_edited_edited.png,San Francisco - Bradford White 50-gallon Gas Tank Water Heater Installation 94118,San Francisco,https://www.waterheaterboys.com/services/gas-tank-water-heater-installation,MATCHED_TO_JOB
tankless,tankless-001,meiko_edited.jpg,Walnut Creek - Navien 199k BTU Gas Tankless Water Heater Installation 94550,Walnut Creek,https://www.waterheaterboys.com/services/gas-tankless-water-heater-installations,MATCHED_TO_JOB
tankless,tankless-002,14F7B6D9-1CFC-4FC6-A4E3-9BC0EAEE92E0.heic,Redwood city - Navien 199k BTU Gas Tankless Water Heater Installation,Redwood City,https://www.waterheaterboys.com/services/gas-tankless-water-heater-installations,MATCHED_TO_JOB
tankless,tankless-003,IMG_2296.jpeg,San Francisco - Navien 199k BTU Gas Tankless Water Heater Installation,San Francisco,https://www.waterheaterboys.com/services/gas-tankless-water-heater-installations,MATCHED_TO_JOB
tankless,tankless-004,IMG_3273.jpeg,San Francisco - Vesta 199k BTU Tankless Water Heater Install 94121,San Francisco,https://www.waterheaterboys.com/services/gas-tankless-water-heater-installations,MATCHED_TO_JOB
tankless,tankless-005,FullSizeRender.jpeg,San Ramon - A.O. Smith 199k BTU Gas Tankless Water Heater Installation,San Ramon,https://www.waterheaterboys.com/services/gas-tankless-water-heater-installations,MATCHED_TO_JOB
tankless,tankless-006,FullSizeRender_edited.jpg,Santa Clara - Navien 199k BTU Gas Tankless Water Heater Installation,Santa Clara,https://www.waterheaterboys.com/services/gas-tankless-water-heater-installations,MATCHED_TO_JOB
heat-pump,heat-pump-001,Gaurav.2.png,Hillsborough - Bradford White 80-Gallon AeroTherm Series Heat Pump Water Heater with Bradford White Connect Smart Feature,Hillsborough,https://www.waterheaterboys.com/services/hybrid-heat-pump-water-heater-installations,MATCHED_TO_JOB
heat-pump,heat-pump-002,margaret_edited.jpg,Oakland - Rheem 80-gallon Hybrid Water Heater Installation,Oakland,https://www.waterheaterboys.com/services/hybrid-heat-pump-water-heater-installations,MATCHED_TO_JOB
heat-pump,heat-pump-003,srikanth_edited.jpg,Fremont - AO Smith 66-Gallon Hybrid Water Heater Installation,Fremont,https://www.waterheaterboys.com/services/hybrid-heat-pump-water-heater-installations,MATCHED_TO_JOB
heat-pump,heat-pump-004,ryan_edited.jpg,San Carlos - Rheem 80-gallon Hybrid Water Heater Installation,San Carlos,https://www.waterheaterboys.com/services/hybrid-heat-pump-water-heater-installations,MATCHED_TO_JOB
heat-pump,heat-pump-005,barb_edited.jpg,Clayton - Navien 80-gallon Hybrid Water Heater Installation,Clayton,https://www.waterheaterboys.com/services/hybrid-heat-pump-water-heater-installations,MATCHED_TO_JOB
heat-pump,heat-pump-006,arlina_edited.jpg,Newark - AO Smith 80-Gallon Hybrid Water Heater Installation,Newark,https://www.waterheaterboys.com/services/hybrid-heat-pump-water-heater-installations,MATCHED_TO_JOB
heat-pump,heat-pump-007,jason_edited.jpg,Danville - Rheem 80-gallon Hybrid Water Heater Installation,Danville,https://www.waterheaterboys.com/services/hybrid-heat-pump-water-heater-installations,MATCHED_TO_JOB
service-page,,IMG_6779.jpeg,Fixture Upgrades,,https://www.waterheaterboys.com/general-plumbing,MATCHED_TO_SECTION
service-page,,C9968270-9CF5-478A-AC43-1DB2C43F44CF2.png,Bathroom Upgrades,,https://www.waterheaterboys.com/general-plumbing,MATCHED_TO_SECTION
service-page,,IMG_6790.jpeg,Drain Work,,https://www.waterheaterboys.com/general-plumbing,MATCHED_TO_SECTION
service-page,,Screenshot 2025-11-11 141402.png,Gas Leak Repair,,https://www.waterheaterboys.com/general-plumbing,MATCHED_TO_SECTION
service-page,,IMG_6299_edited.jpg,Seismic Gas Shut-Off Valves,,https://www.waterheaterboys.com/general-plumbing,MATCHED_TO_SECTION
service-page,,Screenshot 2025-08-06 073355.png,Smart Water Shut-Off Systems,,https://www.waterheaterboys.com/general-plumbing,MATCHED_TO_SECTION
service-page,,seismic for website.png,Earthquake Gas Shut-Off Valve,,https://www.waterheaterboys.com/services/safety-valves,MATCHED_TO_SECTION
service-page,,moen for website.png,Moen Flo Water Shut-Off Valve,,https://www.waterheaterboys.com/services/safety-valves,MATCHED_TO_SECTION
